n,elapsed_time,FLOPs
414,34797,6.31238e+08
415,34953,6.31458e+08
416,35182,6.30373e+08
417,35743,6.23464e+08
418,37260,6.00951e+08
419,35664,6.3085e+08
420,35838,6.30785e+08
421,36169,6.27991e+08
422,36893,6.18593e+08
423,36308,6.31541e+08
424,36530,6.30672e+08
425,36725,6.30285e+08
426,36812,6.31756e+08
427,37210,6.27934e+08
428,37222,6.30674e+08
429,37417,6.30321e+08
430,38155,6.21012e+08
431,38363,6.2052e+08
432,38102,6.27671e+08
433,38331,6.26811e+08
434,40647,5.93828e+08
435,38627,6.27764e+08
436,38789,6.28018e+08
437,38759,6.31389e+08
438,39016,6.30102e+08
439,39093,6.31734e+08
440,39261,6.31898e+08
441,39454,6.31667e+08
442,39684,6.30856e+08
443,39841,6.31215e+08
444,40097,6.30018e+08
445,40215,6.31e+08
446,40444,6.30249e+08
447,41061,6.23564e+08
448,40755,6.31058e+08
449,40948,6.3089e+08
450,41108,6.31235e+08
451,41285,6.31324e+08
452,41483,6.31098e+08
453,41650,6.3135e+08
454,42054,6.28047e+08
455,42009,6.31491e+08
456,43434,6.13459e+08
457,42403,6.31133e+08
458,42590,6.31113e+08
459,42741,6.31631e+08
460,43122,6.2878e+08
461,44103,6.17468e+08
462,43559,6.27893e+08
463,43902,6.25686e+08
464,43708,6.31179e+08
465,43886,6.3133e+08
466,44306,6.28037e+08
467,45040,6.20455e+08
468,44462,6.31214e+08
469,44697,6.3058e+08
470,44897,6.30449e+08
471,45040,6.31123e+08
472,46105,6.19164e+08
473,45298,6.32866e+08
474,45594,6.31418e+08
475,45839,6.30694e+08
476,46055,6.30381e+08
477,46020,6.33512e+08
478,46369,6.31382e+08
479,46633,6.30436e+08
480,47310,6.2401e+08
481,47087,6.29579e+08
482,47487,6.26873e+08
483,47613,6.2781e+08
484,47611,6.30437e+08
485,47381,6.36117e+08
486,48126,6.28853e+08
487,47862,6.34925e+08
488,48037,6.35212e+08
489,48304,6.34291e+08
490,48812,6.30258e+08
491,48599,6.35606e+08
492,49933,6.21146e+08
493,48619,6.40528e+08
494,49648,6.29798e+08
495,49930,6.28778e+08
496,50383,6.25643e+08
497,49985,6.33169e+08
498,49716,6.39158e+08
499,50055,6.3738e+08
500,50894,6.29387e+08
501,50519,6.36596e+08
502,51422,6.27915e+08
503,50930,6.36508e+08
504,51385,6.33381e+08
505,51441,6.35204e+08
506,51372,6.38577e+08
507,52190,6.31054e+08
508,52343,6.31693e+08
509,52412,6.33346e+08
510,52934,6.29566e+08
511,53224,6.28592e+08
512,52515,6.39573e+08
513,52498,6.42281e+08
514,53757,6.29685e+08
515,53475,6.3547e+08
516,52886,6.45044e+08
517,53263,6.42962e+08
518,53009,6.48543e+08
519,52977,6.51442e+08
520,53456,6.48093e+08
521,53734,6.47221e+08
522,53596,6.5138e+08
523,53616,6.53633e+08
524,54969,6.39984e+08
525,57137,6.18051e+08
526,57787,6.13428e+08
527,55598,6.40006e+08
528,55408,6.44639e+08
529,56333,6.36456e+08
530,56540,6.36525e+08
531,57337,6.30047e+08
532,56835,6.38007e+08
533,56855,6.40181e+08
534,57361,6.36916e+08
535,57322,6.39738e+08
536,60025,6.13214e+08
537,57732,6.3995e+08
538,57904,6.40427e+08
539,58252,6.38968e+08
